Extracted_Text,Confidence
Altacef,1.0
Airz-FF,0.0
Azithral-XL,0.0
Flexpen,1.0
Acamptas,0.0
Acinil-O,0.0
AF-K,0.0
Anti-Thyrox,0.0
Amyclox-LB,0.0
Alphagan,0.0
Addphos,0.0
Aceloflam,0.0
Amantex,0.0
AZR,0.0
Axalin,0.0
Max,1.0
Aldonil,0.0
Alcros,1.0
Aspisol,0.0
Axogurd,1.0
Abel,0.0
Amlokind,1.0
Aristogyl,1.0
Aplazar,1.0
Acemyoset,0.0
Amiject,0.0
Amplinak,0.0
Acnetor,0.0
Acotibien,1.0
Arflur-P,0.0
Alfakit,0.0
Atocor-F,0.0
Amrosys,0.0
Sachet,1.0
Anthocyn-TX,0.0
Alcoliv,0.0
Acenac,0.0
Acetik,0.0
Acnelak-CLZ,0.0
Arbitel-MT,0.0
Ascovent,1.0
Actoid,0.0
Amitax,0.0
Asomex-AT,0.0
Arvast,0.0
Atocor,1.0
Azapure,0.0
Allrite,1.0
Apraize,0.0
Aravon,0.0
Alastin,1.0
Addkay,0.0
Aten-D,0.0
Acnicin,1.0
Alkamed,0.0
Astymin-SN,0.0
Acecloren,0.0
Ambrican,1.0
Azibest,0.0
Amcard-AT,0.0
Amcard,0.0
Amlopin-M,0.0
Airz-F,0.0
Ageless,0.0
Analiv,0.0
Arbitel-H,0.0
Alcinac,0.0
Albutamol,0.0
Apgel,1.0
Albrim,0.0
Anin,0.0
Anozest,0.0
Acidose,0.0
Arifine,0.0
Adiff,0.0
Atazis,0.0
Angispan-TR,0.0
Altiva,0.0
Assurans,0.0
Acnesol-NC,0.0
Alkazip,0.0
Alides,1.0
Azenam,1.0
Alnitro,1.0
Advanced,0.0
Abhayrab-PF,0.0
Absenz,1.0
Allercet-L,0.0
Aisa,0.0
Apetamin,1.0
Amodep-TM,0.0
Acnetoin,1.0
Amlokind-Beta,1.0
Avoprost D 8mg/0.5mg,1.0
Atocor-CV,0.0
Anleo-DSR,0.0
Arigaba,0.0
Acetik-HC,0.0
Amnuring,0.0
Arbitel-CT,0.0
Actapro,1.0
Ara,0.0
A,0.0
Atrodex-C,0.0
Ark-AP,0.0
Advastat,1.0
Arbitel-AV,0.0
Amicin,1.0
Alfalog,1.0
Afderm-MN,0.0
Abz,0.0
Asomex-TM,0.0
Ace Revelol,1.0
Aldigesic-Rab,0.0
Agna,0.0
Amlong-TL,0.0
Ambrodil-XP,0.0
Amclaid,0.0
Asklerol,1.0
Angizem,0.0
Arzep,0.0
Alrista,1.0
Allenza,0.0
Aloja,1.0
Actiheal-D,0.0
Alkepin,0.0
Aceret,1.0
Azelast,1.0
Amlopin-AT,0.0
Alorti,0.0
Alkanil,0.0
Aziwok-XL,1.0
Avapar,1.0
Atropine Sulphate,1.0
Acutrol,0.0
Apresol,0.0
Angistat,1.0
ATR-F,0.0
Ambronac,0.0
Agoprex,1.0
Acton,0.0
Aggramed,0.0
Amlodac-D,0.0
Arophyll,0.0
Algest,0.0
Atorbest,1.0
Atrest,1.0
Alcaft,0.0
Expectorant,1.0
Airtec,1.0
Anaero,0.0
Asunra,0.0
Ancool,0.0
Amipride,1.0
Addwet,1.0
Amide,1.0
Alfugress,0.0
Aceron,1.0
Axinerve-P,0.0
Anglit,1.0
Amiodar,1.0
Atorsave,0.0
Amortas,0.0
Astin,0.0
Asomex-D,0.0
Auradex,0.0
Aciloc-S,0.0
Allerkast,1.0
Aquaray,0.0
Amrobrut,0.0
Aerodil-DX,0.0
Amfy,0.0
Aim7,0.0
Atorlip-ASP,0.0
Acocontin,1.0
Abirapro,1.0
Alpostin,1.0
Arvast-CF,0.0
Amorfine,0.0
Amloz,1.0
Acotrust,1.0
Anabrez,0.0
Almotan,0.0
Arpimune,1.0
Ampilox-LB,0.0
Adgaba,1.0
Ampoxin-CV,0.0
Azildac,1.0
Abendol,0.0
Amace,0.0
Alkazar,0.0
Acera,1.0
Advan-THF,0.0
Alenix,1.0
Adilin,1.0
Aplevant,0.0
Arzu,0.0
Abpress,1.0
Acnewar,0.0
Amdepin,1.0
Auxisoda,0.0
Asolt-AT,0.0
Averzine,1.0
Amonext,0.0
Afogatran,1.0
Arkapres,1.0
Atorec,0.0
Adine-Plus,0.0
Arbitel-AMH,0.0
Amisant,0.0
Abmac,0.0
Acendol,1.0
Asar,1.0
Acera-L,0.0
Amluck,0.0
Atorec-F,0.0
Amlovas-L,0.0
Acnex,1.0
Amazeo,0.0
Asert,0.0
Amiwel,1.0
Aztric,1.0
Aretha,0.0
Apxenta,1.0
Amodep-TMH,0.0
Acipsor,0.0
Azobril,1.0
Angizaar,1.0
Aristogyl-F,0.0
Azom,0.0
Abitol,0.0
Liquigel,1.0
Aditop C Gel,1.0
Amnurite Beta,1.0
Amigold,0.0
Abvida,0.0
Axinerve-NP,0.0
Aquanac,0.0
Augxetil,0.0
Adnurve,0.0
Akynzeo,0.0
Angicam-M,0.0
Azobril Forte,1.0
Amrolmac,0.0
Nvp,1.0
Amoron,1.0
Aminogen,1.0
Arreno,0.0
Aciban,1.0
Altoran,1.0
Admol,0.0
Alday,0.0
Asomex-LT,0.0
Aziwin,1.0
Atecard,0.0
Aerotrop-F,0.0
Allerde,1.0
Adapero,1.0
Alsartan-H,0.0
Alizap,0.0
Angizaar-H,0.0
Alfugress-D,0.0
Aprenext,0.0
Amlace,1.0
Azuvas,0.0
Amicet,1.0
Algina,0.0
Alerchek,0.0
Amigaba,1.0
Amtas-E,0.0
Amlosafe-LS,0.0
Akostol,0.0
Acnay,1.0
Asar-CT,0.0
Amucoe,0.0
Alpicno,0.0
Amfocin,1.0
Forte Dry Syrup,1.0
A-CN,0.0
Doxid,1.0
Alcid,1.0
Amortive,0.0
Azerva,1.0
Adlene,0.0
Aldopam,0.0
Abrozac,1.0
Arimidex,1.0
Alcoxia-MR,0.0
Abel-CT,0.0
Anoscha,0.0
Alsartan,1.0
Afenak,0.0
Adapure,0.0
Atorfen,1.0
Aroxyl,1.0
Angicam,1.0
Acnovate-Trio,0.0
AC,0.0
Arbitel,1.0
Androanagen,1.0
Avessa,1.0
Adbrom,0.0
Ambilon,0.0
Arflur-MR,0.0
Ansuper-Plus,0.0
Acnilite,1.0
Aten-H,0.0
Aziclass,1.0
Exidil,1.0
Alocet,1.0
Azep,0.0
Alorti-M,0.0
Argifizz,1.0
Arorab,0.0
Adp,0.0
Abrophyll-DM,0.0
Axunil,1.0
Actame,1.0
Alnacet,0.0
Afineday,0.0
Apexitra,1.0
Asthagrip,1.0
Ariday,0.0
Aldryl,0.0
Azitus,0.0
Amoreal,0.0
Actiblok,0.0
Altraflam,1.0
Avonza,1.0
Avas-EZ,0.0
Alcipro,0.0
Artiflo,1.0
Advog,0.0
Asmita,1.0
Azilura,1.0
Alfa,0.0
Arbitel-80,0.0
Altispor,0.0
Albekem,1.0
Amcrylate,0.0
Adoclear,0.0
Adilan,1.0
Aflox,0.0
Anbid,1.0
Artilage,0.0
Aumento,0.0
Amlokem,0.0
Aeocal,0.0
Amnac,0.0
Alinfec,0.0
Amcard-LP,0.0
AA,0.0
Arophyll-SR,1.0
Atpark,0.0
Aerotrop,0.0
Af-ter,0.0
Allyzole,0.0
Ark,0.0
Alz,0.0
Atenex,1.0
Angicam-H,0.0
Allerfex,0.0
Acelera-P,0.0
Athzol-DSR,0.0
Admont-LC,0.0
Advacan,1.0
Arophyll-M,0.0
Alersin-Total,0.0
Afitra,1.0
Atornet,0.0
Acmeglim-MV,0.0
Altapan-DSR,0.0
Alatro,0.0
Alfakim,1.0
Arixib,1.0
Azivent-XL,0.0
Atorin,1.0
Amlobet,0.0
Albutas,0.0
Acenac-N,0.0
Azukon,0.0
Accare,0.0
Acelera-TH,0.0
Anti,0.0
Asomex-OH,0.0
Atorica,0.0
AGA,0.0
Adclin,1.0
Arbazeal-ES,0.0
Arthocerin-A,0.0
Amocop,1.0
Abvida-M,0.0
Azmet-VG,0.0
Alphadopa,0.0
Amdepin-AT,0.0
Anort,1.0
Aceclan-TH,0.0
Asmygaba-NT,0.0
Ancer,0.0
Angiotec,1.0
Albavir,0.0
Acneclin,0.0
Antab,1.0
Apriglim-MV,0.0
Atol,0.0
Agiclob,0.0
Acrobenz,0.0
Acmerose-F,0.0
Acvaketo,0.0
Atazor-R,0.0
Acmetel,1.0
Airkast-FX,0.0
Amchek,1.0
Acnecap,0.0
Azam,0.0
Ankon,0.0
Accept-XL,0.0
Acv-LB,0.0
Acnetreat,0.0
Acnox,0.0
Amchek-AT,0.0
Atlura,1.0
Adglim,0.0
Alkel,0.0
Apriglim,0.0
Amipace,1.0
Aziquest,1.0
Asvoxia-P,0.0
Avigan,0.0
Atenova,1.0
Akubliss,1.0
Amyclox-LB-DS,0.0
Aripiren,0.0
Adhair,1.0
Allermax,0.0
Acf,0.0
Adcox-P,0.0
Azolbest-KT,0.0
Atret,1.0
Asenapt,0.0
Albimol,0.0
Alecloz,0.0
Allyte,1.0
Arthocerin-DG,0.0
Afitra-L,0.0
Actiflox,0.0
Ariphrenz,0.0
Avril,0.0
IBL,1.0
Avicaine,1.0
Amvibast,0.0
Alitra,1.0
Klear Granules,1.0
Anclazide-M,0.0
Asmygaba-M,0.0
Betnesol-N,0.0
Betnesol,0.0
Budecort,1.0
Benadryl,1.0
Bandy-Plus,0.0
Brufen,1.0
Brilinta,1.0
Bilypsa,0.0
Betadine,1.0
Betnovate,0.0
Betnovate-GM,0.0
Betacap,0.0
Bactrim,1.0
Baclof,0.0
Bandy,0.0
Brozeet-LS,0.0
Brutaflam-MR,0.0
Bilasure,1.0
Brevipil,1.0
Broclear,0.0
Bilazest,0.0
Budamate,0.0
Betaloc,0.0
Benalgis,0.0
Burnheal,0.0
Bonista Cartridge,1.0
Bilashine,1.0
Boostrix,0.0
Bisoheart,1.0
Bupron,0.0
Basalog,0.0
Bactoclav,1.0
Bilagra,0.0
Betavert,0.0
Brutaflam,1.0
Benzonix,1.0
B,0.0
Baralgan,0.0
Bharglob,0.0
Brite,0.0
Bendex,1.0
Bonmax,0.0
Bro-Zedex,0.0
Bactafuz,1.0
Bexol,1.0
Betnovate-S,0.0
Beipos,0.0
Bilanix,1.0
Budez,0.0
Betheran,0.0
Buscogast,0.0
Brimolol,1.0
Budetrol,0.0
Basugine,1.0
Bromhexine,0.0
Bacstol,1.0
Babygesic,0.0
Betasalic,1.0
Basaglar,0.0
Bactomin,1.0
Bladmir,0.0
Respules,1.0
Bilazap,1.0
Biovac A Vaccine,1.0
Bispec,1.0
Benxop,0.0
Briviact,0.0
Bigspas-P,0.0
Budate,1.0
Biocof,1.0
Bigomet,0.0
Bosentas,1.0
Bidin,0.0
Byloza,0.0
Brimocom,1.0
Dry Syrup,1.0
Bisotab,1.0
Betagel,0.0
Brinzox,0.0
Bandrone,1.0
Brigrel,0.0
Bilacad,1.0
Bimat,0.0
Bactogard,1.0
Bilahist,1.0
Beltas,0.0
Betakind Gargle,1.0
Respule,1.0
Brimodin,1.0
Broncorex,1.0
Biosuganril,1.0
Bepodrops,0.0
Brophyle-N,0.0
Bilambic,0.0
Brinzox-T,0.0
Bisgram,1.0
Bravia-DSR,0.0
Bigfun,0.0
Bett,0.0
Bilanta,1.0
Budenase,0.0
Bengel,0.0
Bromvue,0.0
Biselect,1.0
Biopron,1.0
Breaze-L,0.0
Bicef,0.0
Biofil-AB,0.0
Bionect,0.0
Kwikpen,1.0
Bencid,1.0
Broadiclox,1.0
Biorex,0.0
Berirab,0.0
Biovorin,1.0
Biodoxi-LB,0.0
Beta-Nicardia,0.0
Brom,0.0
Bacfen,1.0
Bioclar,0.0
Betabrim,1.0
Biospas,0.0
Bilazo,0.0
Biochemdryl,1.0
Bilefix,1.0
Blisto,0.0
Bdiff,0.0
Bilachek Syrup,1.0
Bromostar-T,0.0
Brintop,0.0
Billargic,0.0
B-Stil,0.0
Betacard,0.0
Biopress,0.0
Blumox,0.0
Bactogard-CV,0.0
Betamine,0.0
Bisosafe,0.0
Biosore,0.0
Bepozal,0.0
Bevac,0.0
Biotrexate,0.0
Bengreat,0.0
Brupal,0.0
Beta,0.0
Baga,0.0
Bionesp,1.0
Beteala,0.0
Bignac,0.0
Brimotas,0.0
Bimat-T,0.0
Betabest,0.0
Bromifax,0.0
Bvert,0.0
Beniduce,0.0
Betaone,1.0
Baga-M,0.0
Biomyf-S,0.0
Brezvent-LS,0.0
Belina,0.0
Bariderm-S,0.0
Bravia-LS,0.0
Biodib,1.0
Biodens Hair Lotion,1.0
Bisoder,1.0
Beclate,1.0
Bymet,1.0
Biovac,1.0
Biojoynt,0.0
Belclin,0.0
Benad,1.0
BlackCrown Forte,1.0
Bromin,1.0
Brufamol,0.0
Bromutrip,0.0
Biospor,0.0
Bkosa-F,0.0
Crocin,1.0
Citralka,0.0
Colospa,0.0
Cardace,1.0
Corbis,0.0
Claribid,0.0
Chymoflam,1.0
Cartigen,0.0
Clopitorva,0.0
Critizyme,0.0
Cyblex,1.0
Canazole,0.0
Duvadilan,1.0
Dytor,0.0
Depo-Provera,0.0
Dutas,0.0
Dicloran,0.0
Diamicron,0.0
Dabigo,0.0
Diapride,1.0
Dompan,0.0
Diziron,1.0
Danclear,0.0
Doxiflo-M,0.0
Debistal-GM,0.0
Doxinate,0.0
Doloneuron,1.0
Dolo,0.0
Drotikind,0.0
D-Veniz,0.0
Dexcin,1.0
Durabolin,1.0
Darilong,0.0
Dariten,0.0
Duvanta,0.0
Dulane,0.0
Dezlorid,0.0
Divacon,0.0
Diprobate,1.0
Darba,1.0
Dosetil,1.0
Desirox,0.0
Duloren,1.0
Deriphyllin,0.0
Dimol,0.0
Dilnip-Trio,0.0
Damoxy,1.0
Dilo-LS,0.0
Doris,0.0
Dayo,0.0
Donep,0.0
Duphalac,0.0
Desveren,1.0
Dulotin,0.0
Dalacin,0.0
Daxid,0.0
Domin,1.0
Dicaris,0.0
DMR,0.0
Dinofirst,0.0
Dorsun,0.0
Ducira,0.0
Dirifa,0.0
Duprost,0.0
Digihaler,0.0
Digecaine,1.0
Duotrol,1.0
Dolocaine,1.0
Drez,0.0
Divaa,0.0
Dortas-T,0.0
Domways,0.0
Diabetrol,0.0
Dericip,0.0
D,0.0
Depaxil,0.0
Daztor,0.0
Dobest,0.0
Diprolite,0.0
Draminate,0.0
Diof,0.0
Diplomax,1.0
Depo-Medrol,0.0
Dicorate,0.0
Depakote,1.0
Defcort,0.0
Depranex,0.0
Doxoril,1.0
Dianorm-OD,0.0
Diclowin,0.0
Diclotal,0.0
Depotex,0.0
Dablexa,1.0
Dixin,1.0
Dolowin-SR,0.0
Dipsalic,0.0
Dentogel,1.0
Dezacor,0.0
Dilcontin,0.0
Dargen,1.0
Dianorm,0.0
Dersil-AF,0.0
DO,0.0
Doxin,1.0
Dutaprost,0.0
Dompar,0.0
Dom-DT,0.0
Dersol,1.0
Doxolin,0.0
Hmg,1.0
Dabigat,0.0
Milk OF Magnesia Liquid,1.0
Dencross,0.0
Divalprid-OD,0.0
Decomedo Gel,1.0
Deritas,0.0
Dianorm-M,0.0
NS,1.0
Dabiclot,0.0
Dynapar,0.0
Danblock,0.0
Dolonex,1.0
Droziver,0.0
Delok,1.0
Dilgel,0.0
Doxcef,1.0
Dilantin,1.0
Duomate,0.0
Derinide-AQ,0.0
Depig-F,0.0
Dubinor,0.0
Dill-N,0.0
D3-Zen,0.0
Diamet,0.0
Dermoquinol,0.0
Denlafax,0.0
Diclozyme-P,0.0
Desval,0.0
Dabilong,1.0
Divalrate,0.0
Diasdac,0.0
Divaxee,1.0
Donecept,1.0
Diabend,0.0
Dermicee,0.0
Dobact-Core,0.0
Deriva,0.0
Druffnil Shampoo,1.0
Dabistar,0.0
Drotin,0.0
Desilam,1.0
Dibeta,1.0
Dermikem,1.0
Diabend-MR,0.0
Djiso,0.0
Dovy-M,0.0
Doberol,0.0
Divalpro,1.0
Dermitop,0.0
Dinace,0.0
Divalid,1.0
Milk OF Magnesia,1.0
Drego-LS,0.0
Diasdac-ER,0.0
Distaclor,0.0
Domtac,0.0
Diproex,0.0
Dutandro,1.0
Domrab,0.0
Ducaine,1.0
Derisone,0.0
Diomilin-NT,0.0
Doxomit,0.0
Duotrol-SR,0.0
Dysport,0.0
Dotzide,0.0
Diprate-OD,0.0
Duopep,1.0
Dancure,0.0
Denon Soap,1.0
Divaa-OD,0.0
Diva,0.0
Donica-SR,0.0
Dysliptin,0.0
Disogel,0.0
Defelax,1.0
DTM,0.0
Dorsenz-T,0.0
Dabipla,0.0
Derinide,1.0
Decdan,0.0
Diabend-MEX,0.0
Depig,0.0
Doxacard,1.0
Dabirex,1.0
Dollos-P,0.0
Dabigza,1.0
Durart-R,0.0
Dandrid,0.0
Denim,0.0
Dolanzen,0.0
Dolodart,0.0
Danket,0.0
Duopil-HS,0.0
Domgel,1.0
Dubagest,0.0
Respicap,1.0
D3K,0.0
Dentop-K,0.0
DR,0.0
Dan,0.0
Drukof,0.0
Dermtone,1.0
D-Gen,0.0
Divibrim-T,0.0
Dilpra,1.0
Dicovis-GM,0.0
Duoclin-B,0.0
Defmind,0.0
Denon,0.0
Denisole,0.0
Disederm,1.0
Diproliv,0.0
Daltehep,0.0
Dufklin,1.0
Dubinac-SR,0.0
Dobutam,0.0
Domtac-SR,0.0
Diflam,0.0
Degalyn,1.0
Dphyte,0.0
Dany,0.0
Dolestin,1.0
Dulavin,1.0
Dasashil,1.0
Dolcet-AL,0.0
Duovir,0.0
Defwave,0.0
Erlocip,1.0
Eliquis,0.0
Exelon,0.0
Ecosprin,1.0
Enzoflam,0.0
Evion,0.0
Etoshine,1.0
Evalon,0.0
Emeset,1.0
Enzomac,0.0
Eprisan,1.0
Enzar,0.0
Emanzen-D,0.0
Eptoin,0.0
Eldoper,0.0
Eumosone-M,0.0
Etova-MR,0.0
Eyemist,1.0
Eldervit,1.0
Eltroxin,1.0
Eliwel,0.0
Ebast-M,0.0
Elosone-HT,0.0
Erytop,0.0
Ebast-DC,0.0
Eco,0.0
Etova-ER,0.0
Epidosin,1.0
Efil,1.0
Enuff,0.0
Ezedoc,1.0
Emty,0.0
Esogress-D,0.0
Ebast,1.0
Embeta,0.0
Etos,1.0
Etova,1.0
Esomac,0.0
Esofag-D,0.0
Esogress,1.0
Eyemist Forte,1.0
Ebernet,0.0
Envas,0.0
Espogen,1.0
Ezact,0.0
Estrabet,1.0
Eldicet,1.0
Encorate,0.0
Entavir,0.0
Enzoheal,0.0
Eritel,0.0
Escot,0.0
Everfresh,0.0
Eva,0.0
Evict,0.0
Epsolin,1.0
Emlukast-FX,0.0
Epilive,1.0
Enzoflam-CT,0.0
Eflora,0.0
Esoz,0.0
Eukroma,0.0
Eyelet,0.0
Eslo,1.0
Ecosprin-AV,0.0
Etrik,1.0
Endogest,1.0
Ebility,0.0
Etosys,0.0
Endoreg,1.0
Enzictra,0.0
Elocon,0.0
Eposis,0.0
Esgipyrin,1.0
Eritel-CH,0.0
Esofine-DSR,0.0
Elores,1.0
Etogesic,1.0
Etozox,1.0
Esomefol-DSR,0.0
Elata,0.0
Enderm,0.0
Extralube,0.0
Endace,1.0
Epiduo,0.0
Esiflo,1.0
Ethamcip,0.0
Esogress-L,0.0
Etoford,1.0
Etody,1.0
Efnocar,1.0
Emikind-MD,0.0
Eclospan,0.0
Enzocort,1.0
Esofag,1.0
Ecovin,1.0
Ezanic,0.0
Elestra,0.0
Eporise,1.0
Etorica,1.0
Euthyrox,1.0
Extacef,0.0
Eema,0.0
Evatone,1.0
Etoro,0.0
Esgipyrin-A,0.0
Elosone,0.0
Epnone,1.0
Eplehef,1.0
Esperal,0.0
ED,0.0
Emigo,0.0
Etoxib,0.0
Eurepa,1.0
Exocin,1.0
Esofag-L,0.0
Evaparin,1.0
Etrobax,1.0
Eofil Forte,1.0
Emanzen,0.0
Erytop-N,0.0
Evaserve,0.0
Enteromycetin,1.0
Endobloc,0.0
Eberfine,1.0
Eterna,0.0
Enclex,1.0
Eyecon,0.0
Emestat,1.0
Emersa,0.0
Ethasyl,1.0
Erythrocin,1.0
Elyn,0.0
Ebernet-M,0.0
Edrive-T,0.0
Esofine-LS,0.0
Eglucent,0.0
Elfolin,1.0
Elina,0.0
Evanew,1.0
Episert,0.0
Eiref,1.0
Ezicas,0.0
Enam,0.0
Effenac,1.0
Ephedrex,0.0
Elidel,0.0
Evadiol,0.0
Etowin,1.0
Espra,1.0
Emaxgalin,1.0
Erox,0.0
Estova,0.0
Endosis,0.0
Ebal,1.0
Etosys-MF,0.0
Exel,0.0
Emprogest,0.0
EME,0.0
Enoxarin,1.0
Evimectin-A,0.0
Esys-D,0.0
Etocox,1.0
Emigo-MD,0.0
Epofit,1.0
Ezentia,0.0
Epitra,1.0
Etosaid,0.0
Etolid-MR,0.0
Esofine,1.0
Emidoxyn,0.0
Eritel-Trio,0.0
Erythego,0.0
Equirab,1.0
E-Tag,0.0
Eptus,1.0
Emcor,1.0
Etan-G,0.0
Espin-AT,0.0
Elriz,1.0
Entofoam,0.0
Eltocin,1.0
Enapril,1.0
Eslizen,0.0
Emgra,0.0
Escigress,1.0
Etex-T,0.0
Entehep,1.0
Esipram,0.0
Eslo-Tel,0.0
Eutropin,0.0
Espin,1.0
Entaliv,1.0
Esomefol,1.0
EC,0.0
EV,0.0
Escitalent,1.0
Ezimet,0.0
Exermet,1.0
Eslo-AT,0.0
Esam,1.0
Eberjen-M,0.0
Enzamide,1.0
Ezimet-F,0.0
Efipres,0.0
Endokine,0.0
Endothik,0.0
Ezhh,0.0
Eflo,1.0
Eyemac,1.0
Exenta,1.0
Euglim-M,0.0
Elvix,0.0
Exena,0.0
Embeta-R,0.0
Euglim,0.0
Esokem,1.0
Eticort,1.0
Esava,0.0
Etofree,0.0
Edrive-TD,0.0
Ebspor,0.0
Exsora,0.0
Esole,1.0
Ect,0.0
Enrifol,1.0
Erypeg,1.0
Extralast,0.0
Enzosafe-D,0.0
EJ,0.0
Ecothral,0.0
Essita,1.0
Epilite,1.0
Eleftha,1.0
Embeta-TM,0.0
Exizol,0.0
Ebamont,0.0
Esurance,0.0
Erzol-D,0.0
Elicia,1.0
Ericlear,0.0
Q Fiber Granules,1.0
Entrak,0.0
Entacom,0.0
Epival,0.0
Etospeed,1.0
Endonok,0.0
Equisulin-M,0.0
Etofex,0.0
Emluz,0.0
Emefilm,0.0
Eyebrex,1.0
ESGIPYRIN,1.0
Epineuron,0.0
Eberfun,0.0
Esta,0.0
Eberwin,0.0
Esys,0.0
Epilex,1.0
Escipra,1.0
Eberclin,1.0
Ethinorm,0.0
Clofert,1.0
Etaze-ID,0.0
Efonta,0.0
Endobreak,0.0
Ebal-M,0.0
Ebuxo,1.0
Enzox-Forte,0.0
Etorite,0.0
Euclide,0.0
Enliva,1.0
Efzu,0.0
Emlevo,1.0
Eberjen,0.0
Edinase-D,0.0
Etornext-TH,0.0
Eternex-T,0.0
Etaze-AF,0.0
Eurolide,1.0
Esobiz-L,0.0
Ezeepam,0.0
Epocept,1.0
Enpred,0.0
Ensarin,1.0
Esokem-L,0.0
Etonow-MR,0.0
Edinase,1.0
Erypro,1.0
Eurepa-V,0.0
Easyfive-TT,0.0
Elcephase,1.0
Epinext,1.0
